,NNs_natlang,NNs_distance,NNs_simil,GO ID
0,jun phosphorylation,0.9014203220863457,0.5259226423449306,GO:0007258
1,common partner smad protein phosphorylation,0.9151587136234625,0.5221499361314078,GO:0007182
2,smad protein signal transduction,0.9206383016077002,0.5206602404851213,GO:0060395
3,pathway restricted smad protein phosphorylation,0.9272475832574659,0.5188746939870504,GO:0060389
4,regulation of histone h3 t3 phosphorylation,0.9348242147655111,0.5168428182614998,GO:2000281
5,regulation of smad protein signal transduction,0.9350979309708495,0.5167697117521564,GO:0007184
6,histone h3 t3 phosphorylation,0.9373114258862626,0.5161792712508934,GO:0072355
7,negative regulation of smad protein signal transduction,0.94274921008949,0.5147344777218756,GO:0060392
8,regulation of pathway restricted smad protein phosphorylation,0.9430544002486864,0.5146536298067685,GO:0060393
9,negative regulation of histone h3 k27 trimethylation,0.9440918379285724,0.5143789920261682,GO:1902465
10,smad protein complex assembly,0.9453239235307973,0.5140532062058757,GO:0007183
11,negative regulation of histone h3 k14 acetylation,0.9458161896887296,0.5139231574386114,GO:0071441
12,negative regulation of histone h3 k18 acetylation,0.9467278138450739,0.5136824947422172,GO:1902030
13,negative regulation of pathway restricted smad protein phosphorylation,0.9482670966775301,0.51327664554072,GO:0060394
14,negative regulation of histone h3 k27 acetylation,0.9482677146639255,0.5132764827304543,GO:1901675
15,histone h2a s1 phosphorylation,0.9506236186428985,0.5126565629794471,GO:0043990
16,negative regulation of histone h3 s10 phosphorylation,0.951812839182755,0.5123442063321556,GO:0061866
17,regulation of histone h3 k14 acetylation,0.9522075177888772,0.5122406254907915,GO:0071440
18,negative regulation of histone h3 k9 trimethylation,0.953271382432502,0.5119616295993915,GO:1900113
19,regulation of histone h3 k27 trimethylation,0.9537585343176901,0.5118339766327518,GO:1902464
20,regulation of histone h3 k18 acetylation,0.9553852345294055,0.5114081779597083,GO:1902028
21,negative regulation of histone h3 k36 trimethylation,0.9558095077382397,0.5112972383268715,GO:2001254
22,positive regulation of smad protein signal transduction,0.9561142802100185,0.5112175756380832,GO:0060391
23,regulation of smad protein complex assembly,0.9563018209839793,0.5111685677913548,GO:0010990
24,bmp signaling pathway,0.9574748342017947,0.5108622509610822,GO:0030509
25,regulation of histone h3 k27 acetylation,0.9577493655871883,0.5107906137413406,GO:1901674
26,erbb3 erbb4 signaling pathway,0.9588878130466345,0.5104937573963014,GO:0038136
27,histone h2a sqe motif phosphorylation,0.9591839956696308,0.5104165827254062,GO:1990853
28,positive regulation of histone h3 k27 trimethylation,0.959396780000869,0.5103611530889401,GO:1902466
29,negative regulation of histone h3 k9 acetylation,0.9594874638872508,0.5103375338856162,GO:2000616
30,sequestering of bmp from receptor via bmp binding,0.9598816813598826,0.5102348828048336,GO:0038098
31,histone h3 y41 phosphorylation,0.960175066605055,0.5101585144289995,GO:0035409
32,negative regulation of smad protein complex assembly,0.960425681167574,0.5100932973926501,GO:0010991
33,histone h4 s1 phosphorylation,0.9606306676845059,0.5100399664670116,GO:0043989
34,erk1 and erk2 cascade,0.9608486968450679,0.5099832545004429,GO:0070371
35,positive regulation of pathway restricted smad protein phosphorylation,0.9613123807893387,0.5098626867371049,GO:0010862
36,histone h3 s28 phosphorylation,0.9616498685513376,0.509774968526107,GO:0043988
37,negative regulation of bmp signaling pathway,0.961977437612989,0.5096898571966431,GO:0030514
38,positive regulation of histone h3 k14 acetylation,0.9622990462053304,0.5096063222034315,GO:0071442
39,histone h2a phosphorylation,0.962728672617091,0.5094947732467808,GO:1990164
40,negative regulation of histone h3 k27 methylation,0.9629021436166103,0.509449746770116,GO:0061086
41,negative regulation of bmp signaling pathway by negative regulation of bmp secretion,0.9629611856179591,0.5094344235264083,GO:0038056
42,regulation of histone h3 k9 trimethylation,0.963435095744454,0.5093114624300026,GO:1900112
43,positive regulation of histone h3 k18 acetylation,0.9639388775673894,0.5091808158707254,GO:1902029
44,positive regulation of histone h3 k27 acetylation,0.9640275678979634,0.5091578226013743,GO:1901676
45,negative regulation of histone h3 k4 trimethylation,0.9646876769451435,0.5089867523141802,GO:1905436
46,negative regulation of erk1 and erk2 cascade,0.9651621504379794,0.5088638613241804,GO:0070373
47,histone h2a s139 phosphorylation,0.9656425681764655,0.5087394911922893,GO:0035978
48,regulation of bmp signaling pathway,0.9659224739323387,0.5086670574550932,GO:0030510
49,positive regulation of wnt signaling pathway by bmp signaling pathway,0.9663687686355217,0.5085516084014636,GO:0060804
50,regulation of beta catenin tcf complex assembly,0.9665917509815177,0.5084939461893422,GO:1904863
51,regulation of histone h3 k36 trimethylation,0.9671965537163042,0.5083376127875289,GO:2001253
52,histone h2a s121 phosphorylation,0.9673249105149623,0.508304446639799,GO:0072370
53,sequestering of tgfbeta from receptor via tgfbeta binding,0.967354651316739,0.5082967625235775,GO:0038105
54,negative regulation of beta catenin tcf complex assembly,0.9678081213625458,0.5081796284627497,GO:1904864
55,regulation of erk1 and erk2 cascade,0.9678489592081249,0.5081690824495019,GO:0070372
56,negative regulation of nik nf kappab signaling,0.9684793717969641,0.5080063394756994,GO:0042347
57,positive regulation of histone h3 k9 trimethylation,0.9685960886494198,0.5079762200919857,GO:1900114
