,NNs_natlang,NNs_distance,NNs_simil,GO ID
0,smad binding,0.8131202823657242,0.5515353888685308,GO:0046332
1,i smad binding,0.88015557611589,0.53187087957149,GO:0070411
2,r smad binding,0.8904214601836051,0.5289825687351624,GO:0070412
3,co smad binding,0.8989721533359891,0.5266006656512924,GO:0070410
4,bmp binding,0.932301156432024,0.5175176740288717,GO:0036122
5,activin binding,0.9558622778860913,0.5112834432702524,GO:0048185
6,histone deacetylase activity h3 k14 specific,0.9641400264254251,0.5091286703320835,GO:0031078
7,bmp receptor binding,0.9659924892821743,0.5086489421763363,GO:0070700
8,transcription corepressor binding,0.9718483882764142,0.5071383814016739,GO:0001222
9,bmp receptor activity,0.9733429545520129,0.5067542860166541,GO:0098821
10,tsc1 tsc2 complex binding,0.9770760117610167,0.5057974473673787,GO:0062078
11,jun kinase binding,0.9799152677838091,0.5050721191313082,GO:0008432
12,p53 binding,0.980952324330457,0.5048077067367033,GO:0002039
13,nad dependent histone deacetylase activity h3 k14 specific,0.9819183982848256,0.5045616413195474,GO:0032041
14,histone deacetylase activity h3 k9 specific,0.9820831938085258,0.5045196907595607,GO:0032129
15,nad dependent histone deacetylase activity h3 k18 specific,0.9843202697360952,0.503950907145143,GO:0097372
16,histone demethylase activity h3 k27 specific,0.9854937300169048,0.5036530636596298,GO:0071558
17,histone deacetylase binding,0.9855623432630639,0.503635659385343,GO:0042826
18,transcription corepressor activity,0.9859497353759735,0.5035374169783221,GO:0001106
19,phosphorylated histone binding,0.9873709353141222,0.5031773295214971,GO:0106153
20,histone acetyltransferase activity h3 k14 specific,0.9877631874681017,0.5030780358065401,GO:0036408
21,histone acetyltransferase activity h3 k18 specific,0.9892538433110362,0.5027010521369855,GO:0043993
22,mdm2 mdm4 family protein binding,0.9915008804163388,0.5021338478097696,GO:0097371
23,histone acetyltransferase activity h3 k27 specific,0.9918998602863335,0.5020332698131978,GO:0044017
24,histone demethylase activity h3 k9 specific,0.9929358411784384,0.5017722996083468,GO:0032454
25,histone deacetylase regulator activity,0.9933175978651098,0.5016762010584884,GO:0035033
26,nad dependent histone deacetylase activity h3 k9 specific,0.9942665018410564,0.5014374954785759,GO:0046969
27,histone deacetylase activity h3 k4 specific,0.9948987040486046,0.501278585208623,GO:1990162
28,activin receptor binding,0.9950565466837658,0.5012389256145274,GO:0070697
29,histone kinase activity h3 t3 specific,0.9963776470932927,0.5009072313827951,GO:0072354
30,histone acetyltransferase activity h3 k23 specific,0.9969163720513121,0.5007720974177602,GO:0043994
31,histone methyltransferase activity h3 k27 specific,0.9970398292294101,0.5007411396426009,GO:0046976
32,h3 histone acetyltransferase activity,0.998002214559601,0.5004999457522722,GO:0010484
33,histone acetyltransferase activity h3 k56 specific,0.9993324985421993,0.5001669310778191,GO:0032931
34,histone demethylase activity h3 r2 specific,1.0003215714031843,0.49991962007314683,GO:0033746
35,histone demethylase activity h3 k36 specific,1.0005156001046285,0.4998711331957118,GO:0051864
36,jun kinase activity,1.000538847254762,0.499865324471079,GO:0004705
37,histone kinase activity h3 y41 specific,1.001189109617304,0.49970289923836053,GO:0035401
38,histone acetyltransferase activity h3 k9 specific,1.0019553230041374,0.49951164669319315,GO:0043992
39,swi5 sfr1 complex binding,1.0019949189524093,0.4995017672288966,GO:1905334
40,histone kinase activity h2a s139 specific,1.002183447513431,0.4994547334021408,GO:0035979
41,histone deacetylase activity h4 k16 specific,1.0022772927729564,0.49943132432726073,GO:0034739
42,nua4 histone acetyltransferase complex binding,1.0039978757606505,0.49900252495049846,GO:0062060
43,histone acetyltransferase activity h2a k9 specific,1.0049483526429301,0.4987659650592976,GO:0044012
