,NNs_natlang,NNs_distance,NNs_simil,GO ID
0,pdx1 pbx1b mrg1 complex,0.8478922767429307,0.5411570861492999,GO:0034978
1,gata2 tal1 tcf3 lmo2 complex,0.8641024063479287,0.5364512145870559,GO:0070354
2,rgs6 dnmt1 dmap1 complex,0.8660496636744915,0.535891417825864,GO:0070313
3,gata1 tal1 tcf3 lmo2 complex,0.871137660081084,0.5344342222029062,GO:0070353
4,heteromeric smad protein complex,0.8795976011343466,0.5320287700923299,GO:0071145
5,smad protein complex,0.8839043150397483,0.5308125216427996,GO:0071141
6,maml3 rbp jkappa icn1 complex,0.8932829101582827,0.528183080634472,GO:0071179
7,maml1 rbp jkappa icn1 complex,0.89389121394332,0.5280134321537265,GO:0002193
8,homomeric smad protein complex,0.9001140495820434,0.5262841986879493,GO:0071143
9,fhl2 creb complex,0.9010993506665097,0.5260114363036357,GO:0034980
10,maml3 rbp jkappa icn3 complex,0.9061268531935915,0.524624055489573,GO:0071181
11,maml2 rbp jkappa icn1 complex,0.9094563133368428,0.5237092846876734,GO:0071175
12,maml3 rbp jkappa icn2 complex,0.912185241007204,0.5229618859903294,GO:0071180
13,srf myogenin e12 complex,0.9143114304032267,0.5223810421428461,GO:0070514
14,catenin tcf7l2 complex,0.9198774639857572,0.5208665754760996,GO:0071664
15,maml3 rbp jkappa icn4 complex,0.9205625771019269,0.5206807692301132,GO:0071182
16,maml2 rbp jkappa icn3 complex,0.9243065004339173,0.5196677347265143,GO:0071177
17,abin2 nfkb1 map3k8 complex,0.9256422575789364,0.5193072576508972,GO:0034977
18,maml2 rbp jkappa icn2 complex,0.9272780369186715,0.5188664950485287,GO:0071176
19,pcna p21 complex,0.931731525649432,0.5176702801202192,GO:0070557
20,tead 2 yap complex,0.9358046977359862,0.5165810379371155,GO:0071149
21,bcl3 bcl10 complex,0.9377085137085409,0.5160734924398512,GO:0032996
22,bcl3 nf kappab2 complex,0.9380622744890518,0.5159792918747353,GO:0033257
23,maml2 rbp jkappa icn4 complex,0.9388284769946684,0.5157753828487582,GO:0071178
24,atf4 creb1 transcription factor complex,0.9427703144419649,0.5147288861510306,GO:1990589
25,tead 3 yap complex,0.9429975790802428,0.5146686803765191,GO:0071150
26,tead 1 yap complex,0.9436866146654328,0.5144862306787713,GO:0071148
27,atf1 atf4 transcription factor complex,0.9438632737428989,0.5144394739628498,GO:1990590
28,alphav beta8 integrin mmp14 tgfbeta 1 complex,0.946900122042573,0.5136370318529021,GO:0071100
29,gamma catenin tcf7l2 complex,0.94768823787641,0.5134291929032303,GO:0071665
30,beta catenin tcf7l2 complex,0.9487099337295397,0.5131600053406354,GO:0070369
31,cyclin e2 cdk2 complex,0.9489278798203813,0.513102619319173,GO:0097135
32,fhl3 creb complex,0.9496155685188089,0.5129216324219933,GO:0034981
