	ComplexName	UniProtIDs	GeneNames
0	BCL6-HDAC4 complex	P41182;P56524	BCL6;HDAC4
1	BCL6-HDAC5 complex	P41182;Q9UQL6	BCL6;HDAC5
2	BCL6-HDAC7 complex	P41182;Q8WUI4	BCL6;HDAC7
3	Multisubunit ACTR coactivator complex	Q09472;Q92831;Q9Y6Q9;Q92793	EP300;KAT2B;NCOA3;CREBBP
4	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	P30561;P53762	Ahr;Arnt
5	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q9NQG7;Q92902	HPS4;HPS1
6	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Q969F9;Q86YV9;Q9UPZ3	HPS3;HPS6;HPS5
7	MUS81-CDS1 complex	Q92903;Q96NY9	CDS1;MUS81
8	NCOR complex	O75376;Q9BZK7;Q13227;O60907;Q92828;O15379	NCOR1;TBL1XR1;GPS2;TBL1X;CORO2A;HDAC3
9	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Q9NUP1;O95295;Q8TDH9;Q96EV8;Q6QNY1;Q9UL45;Q6QNY0;P78537	BLOC1S4;SNAPIN;BLOC1S5;DTNBP1;BLOC1S2;BLOC1S6;BLOC1S3;BLOC1S1
10	9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	O08915;P11499;P07901;P30561	Aip;Hsp90ab1;Hsp90aa1;Ahr
11	Bestrophin-protein phosphatase 2A complex	P54612;P67776;Q8WMR7	PPP2R1A;PPP2CA;BEST1
12	Arp2/3 protein complex	O15145;O15144;P61158;O15143;P59998;P61160;O15511	ARPC3;ARPC2;ACTR3;ARPC1B;ARPC4;ACTR2;ARPC5
13	Modulator	Q3SZ81;Q3SZ19;Q2KIW6	PSMC3;PSMD9;PSMC6
14	PA28gamma complex	P61289	PSME3
15	PA28 complex	Q9UL46;Q06323	PSME2;PSME1
